id,occupationTitle,abbreviatedName,category,employment2016Thousands,employment2026Thousands,employmentChange20162026Percent,occupationalOpenings20162026AnnualAverageThousands,MedianAnnualWage,asCode,typicalEntryLevelEducation,educationCode,workExperienceInARelatedOccupation,workExCode,typicalOnTheJobTraining,trCode,createdAt,updatedAt
1,"Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist","Actors    ","Art & Design",63.8,71.2,11.6,7.4,N/A,"None Provided","Some college, no degree",6,None,4,"Long-term on-the-job training",3,NULL,NULL
2,"Assemblers and fabricators, all other    * Air Bag Builder* Auto Battery Builder* Barrel Straightener* Crate Builder* Doll Maker* Lure Maker* Quilt Stuffer","Assemblers and fabricators","Skilled Labor - Trades",232.4,199.8,-14,21.6,N/A,"None Provided","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
3,"Buyers and purchasing agents, farm products    * Cattle Buyer* Cotton Broker* Cotton Buyer* Fruit Buyer* Grain Buyer* Hog Buyer* Livestock Buyer* Oyster Buyer* Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products* Tobacco Buyer","Buyers and purchasing agents",Farming,13.7,12.9,-6.2,1.4,N/A,"None Provided","Bachelor's degree",3,None,4,"Moderate-term on-the-job training",4,NULL,NULL
4,"Construction and related workers, all other    * Aluminum Pool Installer* Waterproofer","Construction and related workers","Skilled Labor - Trades",42.7,46.8,9.6,5.1,N/A,"None Provided","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
5,"Dancers    * Ballerina* Ballet Company Member* Ballet Dancer* Ballet Soloist* Burlesque Dancer* Dance Artist* Dancer* Discotheque Dancer* Exotic Dancer* Go-Go Dancer* Line Dancer* Soft Shoe Dancer* Tap Dancer","Dancers    ",Athletics,13.5,14.1,4.6,1.9,N/A,"None Provided","No formal educational credential",8,None,4,"Long-term on-the-job training",3,NULL,NULL
6,"Electrical and electronic equipment assemblers    * Anode Builder* Armature Assembler* Battery Assembler* Battery Builder* Breaker Unit Assembler* Circuit Board Assembler* Computer Assembler* Coping Machine Assembler* Electric Motor Controls Assembler* Electric Sign Assembler* Electrical Assembler* Electrical Controls Assembler* Electronic Assembler* Electronic Sensing Equipment Assembler* Electronic Wirer* Switchbox Assembler* Transformer Assembler* Transformer Maker","Electrical and electronic equipment assemblers    ","Skilled Labor - Trades",218.9,173.3,-20.8,18.2,N/A,"None Provided","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
7,"Electromechanical equipment assemblers    * Electromechanical Assembler* Electromechanical Equipment Assembler* Microwave Oven Assembler* Programmable Logic Controller Assembler* Synchronous Motor Assembler* Vacuum Cleaner Assembler* Vending Machine Assembler","Electromechanical equipment assemblers    ","Skilled Labor - Trades",45.7,35.9,-21.4,3.8,N/A,"None Provided","High school diploma or equivalent",7,None,4,"Moderate-term on-the-job training",4,NULL,NULL
8,"Entertainers and performers, sports and related workers, all other    * Acrobat* Aerialist* Amusement Park Entertainer* Bareback Rider* Baton Twirler* Clown* Comedian* Continuity Director* Fortune Teller* Impersonator* Juggler* Magician* Marionette Performer* Palmist* Professional Poker Player* Prompter* Puppeteer* Rodeo Performer* Story Teller* Stunt Performer* Tumbler* Ventriloquist* Wire Walker","Entertainers and performers","Art & Design",26.7,28.9,8.1,3.2,N/A,"None Provided","No formal educational credential",8,None,4,"Short-term on-the-job training",5,NULL,NULL
9,"First-line supervisors of helpers, laborers, and material movers, hand    * Material Handling Crew Supervisor* Warehouse Supervisor","First-line supervisors of helpers","Skilled Labor - Trades",184.4,200.1,8.5,21,N/A,"None Provided","High school diploma or equivalent",7,"Less than 5 years",2,None,6,NULL,NULL
10,"First-line supervisors of transportation and material-moving machine and vehicle operators    * Crane Crew Supervisor* Dock Operations Supervisor* Gas Station Supervisor* Refuse Collector Supervisor* Truck Driver Supervisor","First-line supervisors of transportation and material-moving machine and vehicle operators    ","Skilled Labor - Trades",204.2,217.7,6.6,22.6,N/A,"None Provided","High school diploma or equivalent",7,"Less than 5 years",2,None,6,NULL,NULL
